image,title,price,brand
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A22F_132032157831014833T3wlqhkJte.jpg,LG OLED65C9PUA Class HDR 4K UHD Smart OLED TV (2019 Model),"1,699",AMD
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-569-Z08.jpg,AMD RYZEN 5 3600 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 65W 100-100000031BOX Desktop Processor,194,Team Group
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-496-V01.jpg,AMD RYZEN 5 2600 6-Core 3.4 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2600BBAFBOX Desktop Processor,119,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-499-V01.jpg,AMD Ryzen 7 2700X 8-Core 3.7 GHz (4.3 GHz Max Boost) Socket AM4 105W YD270XBGAFBOX Desktop Processor,189,ASRock
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-331-039-V01.jpg,Team T-Force Delta RGB 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model TF3D416G3000HC16CDC01,64,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/96-268-145-S01.jpg,"Rosewill Portable Induction Cooktop Countertop Burner, 1500W Electric Induction Cooker with 15 Temperature Settings, 15 Power Levels, 8 Preset Modes, LED Control Panel, Ultra Slim Design - RHAI-19002",29,MSI
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-157-884-V01.jpg,ASRock X570 PHANTOM GAMING 4 AM4 ATX AMD Motherboard,144,Acer America
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-182-343-V01.jpg,Rosewill 1000W Gaming Power Supply - Glacier 1000M,69,Corsair
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-144-219-V01.jpg,MSI PRO Z390-A PRO LGA 1151 (300 Series) ATX Intel Motherboard,109,DEEPCOOL
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/24-011-296-V07.jpg,"Acer K242HQL bid 23.6"" Full HD 1920x1080 60Hz 5ms VGA DVI HDMI Backlit LED Widescreen LCD Monitor",99,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-233-852-01.jpg,CORSAIR Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Memory Kit Model CMK16GX4M2B3000C15,64,Team Group
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/35-856-005-V01.jpg,"DEEPCOOL GAMMAXX 400 CPU Air Cooler 4 Direct Contact Heatpipes, 120mm PWM Fan with Blue LED, Multi-platform Intel/AMD CPUs (AM4 Compatible)",19,Microsoft
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-147-053-23.jpg,"Rosewill Gaming ATX Full Tower Computer Case - Supports up to E-ATX / XL-ATX, Comes With Four Fans - 1 x Front Red LED 230mm Fan, 1 x Top 230mm Fan, 1 x Side 230mm Fan, 1 x Rear 140mm Fan - THOR V2",79,Seagate
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-331-317-V01.jpg,"Team Group GX1 2.5"" 120GB SATA III Internal Solid State Drive (SSD) T253X1120G0C101",16,G.SKILL
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-735-749-V01.jpg,"Microsoft Surface Laptop JKR-00036 Intel Core i7 7th Gen 7660U (2.50 GHz) 16 GB Memory 512 GB SSD Intel Iris Plus Graphics 640 13.5"" Touchscreen Windows 10 Pro 64-bit",899,OLOy
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/22-179-299-V01.jpg,"Seagate BarraCuda ST4000DM004 4TB 5400 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Hard Drives Bare Drive - OEM",89,Patriot Memory
